hidden_dim,num_layers,lr,batch_size,train_loss,train_accuracy,train_f_score,test_loss,test_accuracy,test_f_score,mae
32,1,0.0001,16,1.049009913303813,0.4,0.3388235294117647,1.3054378797178683,0.39601921757035,0.0,3.7333912910851823
32,1,0.0001,32,1.056017568854035,0.4,0.3388235294117647,1.3011918352997822,0.38984214138641043,0.0,3.762788072904751
32,1,0.0001,64,1.0755973301950048,0.4,0.3388235294117647,1.3210729386495508,0.39807824296499655,0.0,3.7223674979028445
32,1,0.001,16,0.9618375754095817,0.4,0.3388235294117647,1.2718165711216305,0.3953328757721345,0.8823529411764706,3.6709231297185996
32,1,0.001,32,0.9430474515169696,0.4,0.3388235294117647,1.2611132704693337,0.39121482498284144,0.8823529411764706,3.6892961183558297
32,1,0.001,64,0.942402109422319,0.4,0.3388235294117647,1.2616782201373058,0.39601921757035,0.8823529411764706,3.6158041638069096
32,1,0.01,16,0.8401864843616069,0.4,0.23703703703703702,1.2801447173823481,0.4481811942347289,0.9108159392789374,3.2299714024250745
32,1,0.01,32,0.8278019180714759,0.3333333333333333,0.23703703703703702,1.2583143607429836,0.4557309540150995,0.9108159392789374,3.1197334706016933
32,1,0.01,64,0.8339629871923415,0.4,0.34400871459694987,1.2804517292458077,0.4708304735758408,0.8784313725490196,3.053590711507664
32,2,0.0001,16,0.9447069526370105,0.3333333333333333,0.31333333333333335,1.2641391184019006,0.39052848318462596,0.0,3.6709231297185996
32,2,0.0001,32,0.9423861624113198,0.3333333333333333,0.31333333333333335,1.2960353286369988,0.394646533973919,0.0,3.6341771524441397
32,2,0.0001,64,0.9255879622339551,0.3333333333333333,0.31333333333333335,1.2993713656197423,0.40150995195607414,0.0,3.593756577442233
32,2,0.001,16,0.933373396513892,0.4,0.3388235294117647,1.2386703737404035,0.42896362388469456,0.8823529411764706,3.428399679707161
32,2,0.001,32,0.934605031717019,0.4,0.3388235294117647,1.2536958792935247,0.4166094715168154,0.8823529411764706,3.498217036528636
32,2,0.001,64,0.9399981326092788,0.3333333333333333,0.31333333333333335,1.2490687383257824,0.41592312971859985,0.8823529411764706,3.5092408297109734
32,2,0.01,16,0.8772511361726646,0.3333333333333333,0.44666666666666666,1.2811579328516256,0.456417295813315,0.8823529411764706,3.1454556546938157
32,2,0.01,32,0.8668209244318998,0.4,0.5331313131313131,1.3200926456762396,0.4557309540150995,0.6274509803921569,3.130757263784031
32,2,0.01,64,1.6742200007855566,0.3333333333333333,0.23703703703703702,1.3467431444188822,0.42896362388469456,0.8823529411764706,3.604780370624571
32,3,0.0001,16,0.9413496949633614,0.3333333333333333,0.31333333333333335,1.259054288915966,0.38984214138641043,0.9108159392789374,3.6709231297185996
32,3,0.0001,32,0.940176470683572,0.3333333333333333,0.31333333333333335,1.262797412664994,0.3987645847632121,0.8823529411764706,3.6121295660794637
32,3,0.0001,64,0.9368908955751221,0.3333333333333333,0.31333333333333335,1.2705101150533427,0.39670555936856555,0.8823529411764706,3.6341771524441397
32,3,0.001,16,0.9226620571860851,0.4,0.3388235294117647,1.3068344074746836,0.4118050789293068,0.8823529411764706,3.4724948524365136
32,3,0.001,32,0.8478215382398804,0.3333333333333333,0.23703703703703702,1.2730406445005666,0.46465339739190115,0.8823529411764706,3.0646145046900024
32,3,0.001,64,0.8278667208601217,0.3333333333333333,0.23703703703703702,1.2868868332842123,0.46465339739190115,0.8823529411764706,3.0646145046900024
32,3,0.01,16,0.8105659918055508,0.3333333333333333,0.23703703703703702,1.237418602342191,0.4921070693205216,0.912655971479501,2.8478132387706863
32,3,0.01,32,0.853789987297006,0.3333333333333333,0.3388235294117647,1.2466030457745427,0.48249828414550444,0.8823529411764706,2.943352779684283
32,3,0.01,64,0.8336072161875135,0.4,0.34400871459694987,1.2953465321789617,0.47494852436513385,0.8823529411764706,2.965400366048959
64,1,0.0001,16,0.9887009549662064,0.4,0.3388235294117647,1.2725153293298639,0.39327385037748797,0.0,3.703994509265614
64,1,0.0001,32,0.9897456312440133,0.4,0.3388235294117647,1.272633354301038,0.39190116678105696,0.0,3.7186929001753986
