hidden_sizes,lr,batch_size,train_loss,train_accuracy,train_f_score,test_loss,test_accuracy,test_f_score,mae
"[4, 32]",0.0001,16,1.2717530225795475,0.26666666666666666,0.6079365079365079,1.405467258847278,0.40974605353466026,0.0,3.6856215206283838
"[4, 32]",0.0001,32,1.2972481569957213,0.4666666666666667,0.4917216117216118,1.396494746208191,0.39601921757035,0.0,3.9134465797300386
"[4, 32]",0.0001,64,1.2708337521943889,0.4,0.29185185185185186,1.4223767026610996,0.4056280027453672,0.0,3.718692900175399
"[4, 32]",0.001,16,1.061951811847791,0.4666666666666667,0.09411764705882354,1.2565099260081416,0.40425531914893614,0.6776470588235294,3.542312209257988
"[4, 32]",0.001,32,1.0403638882715194,0.4,0.5331313131313131,1.2519921129164489,0.4234728894989705,0.8500948766603416,3.4577964615267294
"[4, 32]",0.001,64,1.046666282447961,0.4666666666666667,0.29185185185185186,1.2437012597270634,0.43239533287577214,0.8823529411764706,3.4137012887973768
"[4, 32]",0.01,16,1.2718228069159503,0.26666666666666666,0.4,1.3161094603331194,0.40974605353466026,0.0,3.7738118660870894
"[4, 32]",0.01,32,1.0591021815284354,0.26666666666666666,0.3388235294117647,1.2638385490230892,0.43994509265614273,0.0,3.2520189887897506
"[4, 32]",0.01,64,1.064889580825639,0.4,0.11228070175438595,1.277216718248699,0.4118050789293068,0.0,3.604780370624571
"[4, 64]",0.0001,16,1.124884832752207,0.4,0.3657142857142857,1.3139446507329526,0.39327385037748797,0.0,3.759113475177305
"[4, 64]",0.0001,32,1.1353620476410038,0.4,0.3466666666666667,1.3199019393195277,0.3864104323953329,0.0,3.792184854724319
"[4, 64]",0.0001,64,1.1083452981677864,0.3333333333333333,0.3466666666666667,1.292261753393256,0.3877831159917639,0.0,3.770137268359643
"[4, 64]",0.001,16,1.0131992166811,0.4,0.21263616557734205,1.221601278885551,0.4104323953328758,0.8823529411764706,3.4835186456188514
"[4, 64]",0.001,32,0.9835685628359435,0.4,0.23703703703703702,1.2319791148538175,0.4186684969114619,0.912655971479501,3.4173758865248227
"[4, 64]",0.001,64,1.0071218157075141,0.4,0.46095238095238095,1.2443975339765134,0.42072752230610844,0.912655971479501,3.402677495615039
"[4, 64]",0.01,16,1.0258686985474466,0.26666666666666666,0.46984126984126984,1.3192805725595225,0.42141386410432397,0.0,3.4577964615267294
"[4, 64]",0.01,32,1.0075090455878628,0.3333333333333333,0.23703703703703702,1.3113078241762908,0.39670555936856555,0.0,3.6084549683520177
"[4, 64]",0.01,64,1.022253959231038,0.4666666666666667,0.2440087145969499,1.3149700255497643,0.39052848318462596,0.0,3.6341771524441397
"[4, 128]",0.0001,16,1.016009237271189,0.4,0.21263616557734205,1.2520047231860782,0.39807824296499655,0.0,3.630502554716694
"[4, 128]",0.0001,32,1.0114158916343106,0.5333333333333333,0.4,1.2520687606023706,0.39052848318462596,0.0,3.700319911538168
"[4, 128]",0.0001,64,1.0161511731929467,0.4,0.5512820512820513,1.2511957028637761,0.40288263555250514,0.0,3.590081979714787
"[4, 128]",0.001,16,1.0301397078024233,0.4,0.34400871459694987,1.2258310849251954,0.426904598490048,0.8784313725490196,3.380629909250363
"[4, 128]",0.001,32,0.979830170589718,0.4,0.21263616557734205,1.2181574844795724,0.425531914893617,0.8500948766603416,3.33653473652101
"[4, 128]",0.001,64,0.9557016921825097,0.4,0.23703703703703702,1.218181163072586,0.41935483870967744,0.8067226890756302,3.4137012887973768
"[4, 128]",0.01,16,1.0603161867850466,0.26666666666666666,0.3388235294117647,1.2766064003757809,0.4234728894989705,0.0,3.523939220620758
"[4, 128]",0.01,32,1.0196724042214982,0.4,0.23703703703703702,1.2535587847232819,0.42210020590253944,0.0,3.4210504842522687
